source_center,destination_center,time_bucket,evaluated_legs,median_carting_eta_min,median_ftl_eta_min,median_ftl_time_saving_min,median_break_even_ftl_premium,median_ftl_net_value,recommended_route_type,evidence_level
IND786181AAC,IND792121AAB,night,1,126.8567103872303,128.50598454090746,-1.649274153677169,0.0,-500.0,Carting,low: one mode observed
IND380054AAA,IND382430AAB,night,3,75.98872049941156,84.45822078942912,-7.8516686250293475,0.0,-500.0,Carting,low: one mode observed
IND382421AAA,IND382721AAA,night,5,50.385931732137024,54.145831352290855,-3.4310572247292868,0.0,-500.0,Carting,low: one mode observed
IND382430AAB,IND000000ACB,evening,1,1433.270499696098,1620.4430387916943,-187.17253909559622,0.0,-500.0,Carting,low: one mode observed
IND382430AAB,IND000000ACB,morning,5,1553.1348408433787,1757.5614841058518,-204.10407140609755,0.0,-500.0,Carting,low: one mode observed
IND382430AAB,IND313001AAB,evening,3,511.86230637279414,577.9687438885761,-66.59732014614337,0.0,-500.0,Carting,low: one mode observed
IND792103AAB,IND792001AAA,night,2,98.0835333578988,99.61007165910391,-1.5265383012051075,0.0,-500.0,Carting,low: one mode observed
IND382430AAB,IND380005AAA,evening,6,113.41759498675489,122.30456481053895,-9.294343448914717,0.0,-500.0,Carting,low: one mode observed
IND382430AAB,IND380005AAA,night,7,122.08818134980375,135.49583453064741,-11.916143803936833,0.0,-500.0,Carting,low: one mode observed
IND792130AAB,IND786001AAB,morning,1,301.5795353282539,310.2938863628604,-8.714351034606523,0.0,-500.0,Carting,low: one mode observed
IND798601AAA,IND785001AAA,night,1,692.3410585204691,708.73341734395,-16.39235882348089,0.0,-500.0,Carting,low: one mode observed
IND802101AAA,IND802119AAA,night,4,61.370436482697826,64.3345872445102,-3.07071310591164,0.0,-500.0,Carting,low: one mode observed
IND382430AAB,IND380015AAB,evening,5,132.60745280381556,139.03723611956968,-6.0093516792543795,0.0,-500.0,Carting,low: one mode observed
IND802158AAB,IND821115AAB,night,4,213.37995160249596,218.34048779689306,-2.721517712233421,0.0,-500.0,Carting,low: one mode observed
IND382430AAB,IND380015AAB,night,7,141.88886027774055,146.51436655972088,-6.082399787057739,0.0,-500.0,Carting,low: one mode observed
