source_center,destination_center,route_type,time_bucket,observation_count,median_osrm_time_min,median_actual_movement_min,median_actual_elapsed_min,median_movement_delay_ratio,median_excess_min,breach_rate,chronic_delay
IND000000ACN,IND501359AAF,Carting,afternoon,5,17.0,35.0,99.0,2.0588235294117645,18.0,1.0,True
IND000000ACN,IND501359AAF,Carting,evening,6,18.0,33.5,87.5,1.8611111111111112,15.5,1.0,True
IND000000ACT,IND000000ACB,Carting,afternoon,2,41.0,115.0,154.5,2.8048780487804876,74.0,1.0,False
IND000000ACT,IND000000ACB,Carting,evening,17,43.0,65.0,146.0,1.5238095238095237,23.0,0.8235294117647058,True
IND000000ACT,IND000000ACB,Carting,morning,5,41.0,72.0,128.0,1.8461538461538463,33.0,1.0,True
IND000000ACT,IND000000ACB,Carting,night,9,40.0,69.0,164.0,1.675,27.0,1.0,True
IND000000ACT,IND000000ACB,FTL,evening,38,42.5,50.0,246.0,1.186046511627907,8.0,0.4473684210526316,False
IND000000ACT,IND131028AAB,Carting,afternoon,16,56.0,102.5,197.5,1.8392857142857144,47.0,1.0,True
IND000000ACT,IND131028AAB,Carting,evening,14,56.0,80.0,167.5,1.407878217200251,23.0,0.8571428571428571,True
IND000000ACT,IND131028AAB,Carting,morning,2,57.0,126.0,230.5,2.207820197044335,69.0,1.0,False
IND000000ACT,IND160002AAC,FTL,morning,2,187.5,400.0,438.5,2.13349072704517,212.5,1.0,False
IND000000ACT,IND160002AAC,FTL,night,12,188.0,383.0,464.5,2.031844534504109,194.5,1.0,True
IND000000ADV,IND600044AAC,Carting,afternoon,9,37.0,76.0,119.0,2.027027027027027,38.0,1.0,True
IND000000ADV,IND600044AAC,Carting,evening,2,37.5,79.0,126.0,2.1073968705547657,41.5,1.0,False
IND000000AEL,IND000000ACB,Carting,afternoon,2,58.5,104.0,257.0,1.777323202805377,45.5,1.0,False
IND000000AEL,IND000000ACB,Carting,evening,10,58.0,108.0,269.5,1.8461426066627702,49.5,1.0,True
IND000000AEL,IND000000ACB,Carting,morning,3,59.0,108.0,579.0,1.8305084745762712,49.0,1.0,False
IND000000AEM,IND110037AAB,Carting,evening,3,42.0,89.0,209.0,2.0697674418604652,46.0,1.0,False
IND000000AEM,IND110037AAB,Carting,morning,4,40.5,185.0,279.5,4.4523809523809526,145.0,1.0,False
