facility_id,in_degree,out_degree,betweenness_centrality,weighted_betweenness_centrality,clustering_coefficient,weak_component_size,outgoing_legs,outgoing_breaches,outgoing_excess_min,source_dwell_min,incoming_legs,incoming_breaches,incoming_excess_min,throughput_legs,attributed_breaches,attributed_excess_min,facility_name,structural_percentile,weighted_structural_percentile,throughput_percentile,excess_time_percentile,low_redundancy_percentile,sla_breach_contribution_pct,excess_time_contribution_pct,observed_impact_index,bottleneck_score
IND410206AAA,2,1,0.0004042274262760508,0.0004042274262760509,0.5,1263,6.0,6.0,181.0,378.0,10.0,10.0,262.0,16.0,8.0,221.5,Jasai_JNPT_D (Maharashtra),0.539937106918239,0.5267295597484277,0.5745283018867925,0.4056603773584906,0.13364779874213836,0.04446173511921303,0.010547468369499484,0.0060485209036699305,23.62318076216463
IND380015AAB,1,0,0.0,0.0,0.0,1263,0.0,0.0,0.0,0.0,23.0,23.0,707.0,23.0,11.5,353.5,AMD_Satellite (Gujarat),0.18930817610062894,0.18270440251572326,0.7566037735849057,0.5688679245283019,0.7150943396226415,0.06391374423386872,0.016833092860578183,0.008763587338996258,23.604846033616482
IND401208AAA,1,0,0.0,0.0,0.0,1263,0.0,0.0,0.0,0.0,23.0,23.0,664.0,23.0,11.5,332.0,Nalasopara (Maharashtra),0.18930817610062894,0.18270440251572326,0.7566037735849057,0.550314465408805,0.7150943396226415,0.06391374423386872,0.01580929796241006,0.008721413772210982,23.602737355277217
IND121004AAA,1,1,0.0,0.0,0.0,1263,9.0,9.0,259.0,720.0,14.0,14.0,162.0,23.0,11.5,210.5,Faridabad_Blbgarh_DC (Haryana),0.18930817610062894,0.18270440251572326,0.7566037735849057,0.3836477987421384,0.7150943396226415,0.06391374423386872,0.010023666328576259,0.008483084080843029,23.59082087070882
IND781102AAA,1,1,0.0002025100145363353,0.0004050200290726706,0.0,1263,2.0,2.0,239.0,1143.0,3.0,3.0,80.0,5.0,2.5,159.5,Hajo_Sardala_D (Assam),0.5235849056603774,0.5506289308176101,0.19654088050314467,0.3110062893081761,0.7150943396226415,0.01389429222475407,0.0075951295933867615,0.0020672549836216517,23.562482246036435
IND533201AAA,3,2,0.0004044255769752058,0.00040462372767436077,0.375,1263,8.0,8.0,331.0,262.0,5.0,5.0,262.0,13.0,6.5,296.5,Amalapuram_Vijdurg_D (Andhra Pradesh),0.5666666666666667,0.5433962264150943,0.47232704402515724,0.5110062893081762,0.22327044025157233,0.03612515978436059,0.014118845921248744,0.00514300641815957,23.508722647952002
IND509103AAB,2,2,0.000409379344454079,0.000409379344454079,0.6,1263,4.0,4.0,240.0,80.0,10.0,10.0,971.0,14.0,7.0,605.5,Wanaparthy_VallaDPP_D (Telangana),0.6116352201257862,0.5839622641509434,0.5078616352201258,0.7345911949685534,0.04748427672955975,0.0389040182293114,0.028832921434455698,0.0061000060361025,23.411918540798837
IND421601AAB,1,1,0.0004042274262760509,0.0004042274262760509,0.5,1263,9.0,9.0,1336.0,428.0,6.0,6.0,166.0,15.0,7.5,751.0,Asangaon_Shahapur_D (Maharashtra),0.5550314465408805,0.5267295597484277,0.5411949685534592,0.789622641509434,0.13364779874213836,0.041682876674262216,0.035761393884849266,0.006736290390352753,23.38398433083839
IND176303AAA,2,1,1.1889041949295614e-06,1.1889041949295614e-06,0.3333333333333333,4,10.0,8.0,2627.0,274.0,10.0,9.0,429.0,20.0,8.5,1528.0,Dalhousie_Banikhet_D (Himachal Pradesh),0.42138364779874216,0.4069182389937107,0.6729559748427673,0.8968553459119497,0.24213836477987422,0.04724059356416384,0.0727608653209716,0.008962177864325072,23.35376927057474
IND342902A1B,2,1,0.0014062755119025163,0.0,0.16666666666666666,1263,6.0,6.0,1640.0,456.0,4.0,4.0,207.0,10.0,5.0,923.5,IND342902A1B,0.8336477987421383,0.18270440251572326,0.3632075471698113,0.829559748427673,0.3238993710691824,0.02778858444950814,0.043975562253872565,0.005320273740345591,23.28488161154558
IND402109AAA,1,1,3.963013983098538e-07,3.963013983098538e-07,0.5,3,13.0,13.0,653.0,90.0,11.0,11.0,459.0,24.0,12.0,556.0,Roha_DataSagr_D (Maharashtra),0.3940251572327044,0.3767295597484277,0.7855345911949686,0.7075471698113207,0.13364779874213836,0.06669260267881955,0.026475812250301187,0.009511680684258636,23.272753845533686
IND303901AAA,1,1,5.548219576337954e-06,5.548219576337954e-06,0.0,18,2.0,2.0,78.0,28.0,6.0,6.0,314.0,8.0,4.0,196.0,Chaksu_TonkRoad_D (Rajasthan),0.4679245283018868,0.4547169811320755,0.2921383647798742,0.36886792452830186,0.7150943396226415,0.022230867559606515,0.009333200001904735,0.003191483548041698,23.258630781175675
IND788713AAA,2,2,0.0002019155624388705,0.0,0.5,1263,11.0,11.0,608.0,856.0,13.0,13.0,743.0,24.0,12.0,675.5,Karimganj_Alngjuri_D (Assam),0.5204402515723271,0.18270440251572326,0.7855345911949686,0.7657232704402516,0.13364779874213836,0.06669260267881955,0.03216620714942167,0.009746087253134935,23.240449016744797
IND415612AAA,1,1,0.000409379344454079,0.000409379344454079,0.5,1263,5.0,5.0,716.0,99.0,7.0,7.0,1496.0,12.0,6.0,1106.0,Ratnagiri_MjgaonRd_D (Maharashtra),0.6116352201257862,0.5839622641509434,0.4380503144654088,0.8572327044025158,0.13364779874213836,0.03334630133940977,0.05266591429646243,0.00638001305367389,23.240384300482436
IND631501AAA,1,2,0.000409379344454079,0.000409379344454079,0.5,1263,6.0,6.0,1853.0,807.0,6.0,6.0,263.0,12.0,6.0,1058.0,Kanchipuram_DC (Tamil Nadu),0.6116352201257862,0.5839622641509434,0.4380503144654088,0.8534591194968554,0.13364779874213836,0.03334630133940977,0.050380232663342905,0.006285858113874205,23.23567655349245
IND000000AEM,0,2,0.0,0.0,0.0,3,22.0,22.0,2095.0,3479.0,0.0,0.0,0.0,22.0,11.0,1047.5,Gurgaon_Bilaspur_RP (Haryana),0.18930817610062894,0.18270440251572326,0.7286163522012579,0.8503144654088051,0.7150943396226415,0.06113488578891791,0.04988023980609801,0.009774033650617586,23.235557028442827
IND000000ACK,0,1,0.0,0.0,0.0,5,22.0,22.0,1043.0,1371.0,0.0,0.0,0.0,22.0,11.0,521.5,Hyderabad_Chikdply_C (Telangana),0.18930817610062894,0.18270440251572326,0.7286163522012579,0.6871069182389937,0.7150943396226415,0.06113488578891791,0.024832978576496526,0.0087422524353127,23.18396796767758
IND361335AAA,1,1,1.1889041949295614e-06,1.1889041949295614e-06,0.0,7,1.0,1.0,63.0,33.0,9.0,9.0,148.0,10.0,5.0,105.5,Dwarka_StnRoad_DC (Gujarat),0.42138364779874216,0.4069182389937107,0.3632075471698113,0.21540880503144655,0.7150943396226415,0.02778858444950814,0.005023737756127293,0.003715716641259286,23.174779542754788
IND643212AAA,1,1,1.664465872901386e-05,1.664465872901386e-05,0.0,19,2.0,2.0,540.0,20.0,4.0,4.0,217.0,6.0,3.0,378.5,Gudalur_kalmpuza_D (Tamil Nadu),0.5015723270440252,0.490251572327044,0.23018867924528302,0.5924528301886792,0.7150943396226415,0.016673150669704886,0.018023552044494604,0.0028477140894401726,23.17225991830849
IND176061AAA,1,1,0.0004050200290726706,0.0004050200290726706,0.0,1263,1.0,1.0,841.0,23.0,2.0,2.0,84.0,3.0,1.5,462.5,Palampur_Cnsrvila_D (Himachal Pradesh),0.5748427672955975,0.5506289308176101,0.11949685534591195,0.64937106918239,0.7150943396226415,0.008336575334852443,0.022023494902453776,0.0019598536551422535,23.17031972678227
IND743513AAA,1,1,0.000409379344454079,0.000409379344454079,0.5,1263,8.0,8.0,321.0,224.0,4.0,4.0,230.0,12.0,6.0,275.5,Fatepur_NH117_D (West Bengal),0.6116352201257862,0.5839622641509434,0.4380503144654088,0.4761006289308176,0.13364779874213836,0.03334630133940977,0.013118860206758952,0.004750936439014751,23.158930469749478
IND421401AAC,1,1,0.000409379344454079,0.000409379344454079,0.5,1263,6.0,6.0,166.0,164.0,6.0,6.0,338.0,12.0,6.0,252.0,Murbad_SnkunDPP_D (Maharashtra),0.6116352201257862,0.5839622641509434,0.4380503144654088,0.4468553459119497,0.13364779874213836,0.03334630133940977,0.011999828573877516,0.004704839749737822,23.156625635285632
IND410209AAA,1,0,0.0,0.0,0.0,1263,0.0,0.0,0.0,0.0,22.0,22.0,425.0,22.0,11.0,212.5,Mumbai_Khandeshwar_Dc (Maharashtra),0.18930817610062894,0.18270440251572326,0.7286163522012579,0.3886792452830189,0.7150943396226415,0.06113488578891791,0.010118903063289572,0.008136130010352224,23.15366184642956
IND625531AAA,1,1,3.963013983098538e-07,3.963013983098538e-07,0.0,27,6.0,6.0,81.0,216.0,5.0,5.0,116.0,11.0,5.5,98.5,Theni_Rathnam_D (Tamil Nadu),0.3940251572327044,0.3767295597484277,0.4037735849056604,0.20534591194968554,0.7150943396226415,0.030567442894458955,0.004690409184630696,0.004052862905520955,23.087863271062215
IND504251AAA,1,2,0.0008183623875098481,0.0008183623875098481,0.5,1263,5.0,3.0,123.0,46.0,1.0,1.0,15.0,6.0,2.0,69.0,Bellmpalli_BasthDPP_D (Telangana),0.7367924528301887,0.7147798742138365,0.23018867924528302,0.1550314465408805,0.13364779874213836,0.011115433779803258,0.0032856673476093197,0.0015388564978918724,23.065936535586417
