source_center,destination_center,observation_count,trip_count,route_type_count,median_osrm_time_min,median_osrm_distance_km,median_actual_movement_min,median_actual_elapsed_min,median_movement_delay_ratio,mean_movement_delay_ratio,median_excess_min,total_excess_min,breach_rate,chronic_delay,sla_breach_contribution_pct,corridor_priority_score,recommended_intervention
IND585222AAA,IND585211AAA,4,4,1,26.0,26.2468,36.0,62.5,1.4123076923076923,1.476096866096866,10.5,50.0,0.75,False,0.016673150669704886,20.626993620414673,Monitor; current evidence does not justify capital action
IND274509AAB,IND274304AAA,1,1,1,47.0,56.5716,94.0,104.0,2.0,2.0,47.0,47.0,1.0,False,0.005557716889901629,20.563197767145137,Monitor; current evidence does not justify capital action
IND312601AAA,IND458664AAA,4,4,1,40.5,36.815349999999995,51.0,70.0,1.2591463414634148,1.3728658536585365,10.5,60.0,0.75,False,0.016673150669704886,20.540271132376397,Monitor; current evidence does not justify capital action
IND504201AAA,IND505184AAC,4,4,1,75.0,59.717,83.5,102.5,1.1056140350877193,1.2162792397660818,8.0,65.0,0.25,False,0.005557716889901629,20.502392344497604,Monitor; current evidence does not justify capital action
IND332001AAB,IND333028AAA,2,2,1,92.0,92.28645,134.0,161.0,1.4531046717918392,1.4531046717918392,42.0,84.0,1.0,False,0.011115433779803258,20.485446570972886,Monitor; current evidence does not justify capital action
IND852111AAA,IND852118AAA,1,1,1,35.0,49.0642,72.0,376.0,2.057142857142857,2.057142857142857,37.0,37.0,1.0,False,0.005557716889901629,20.3957336523126,Monitor; current evidence does not justify capital action
IND562132AAA,IND577002AAA,1,1,1,190.0,248.9406,300.0,741.0,1.5789473684210527,1.5789473684210527,110.0,110.0,1.0,False,0.005557716889901629,20.37579744816587,Monitor; current evidence does not justify capital action
IND600048AAA,IND600044AAD,1,1,1,11.0,11.5396,25.0,28.0,2.272727272727273,2.272727272727273,14.0,14.0,1.0,False,0.005557716889901629,20.115629984051036,Monitor; current evidence does not justify capital action
IND722202AAA,IND722101AAC,3,3,1,29.0,32.3165,44.0,50.0,1.5517241379310345,1.5432098765432098,16.0,46.0,1.0,False,0.016673150669704886,20.052830940988837,Monitor; current evidence does not justify capital action
IND752050AAA,IND752056AAA,1,1,1,6.0,9.6907,14.0,22.0,2.3333333333333335,2.3333333333333335,8.0,8.0,1.0,False,0.005557716889901629,20.03090111642743,Monitor; current evidence does not justify capital action
IND262001AAA,IND244901AAB,1,1,1,81.0,111.7625,148.0,622.0,1.8271604938271604,1.8271604938271604,67.0,67.0,1.0,False,0.005557716889901629,20.009968102073366,Monitor; current evidence does not justify capital action
IND122001AAJ,IND507123AAA,9,9,1,58.0,39.492,45.0,57.0,0.7758620689655172,0.7967531498399874,0.0,0.0,0.0,False,0.0,19.98405103668261,Monitor; current evidence does not justify capital action
IND487001AAA,IND487551AAA,3,3,1,46.0,51.4846,64.0,76.0,1.391304347826087,1.446654332408264,18.0,62.0,1.0,False,0.016673150669704886,19.982057416267942,Monitor; current evidence does not justify capital action
IND184104AAA,IND181152AAA,2,2,1,71.0,78.20435,107.0,141.0,1.5067460317460317,1.5067460317460317,36.0,72.0,1.0,False,0.011115433779803258,19.978070175438596,Monitor; current evidence does not justify capital action
